SKU HALEON;CADENA;SUBCADENA;SKU HOLDING;DESCRIPCIÓN CADENA;PRECIO NORMAL;PRECIO OFERTA;DESCUENTO;TIPO
F000018138;FASA;Ahumada;44556;Centrum Silver Fco. 30 Comp. Rec.; $15.099 ;;;Farmacia / Perfumería
F000018135;FASA;Ahumada;44557;Centrum Tabl.Recubie X 30; $12.599 ;;;Farmacia / Perfumería
F000018139;FASA;Ahumada;45332;Centrum Silver Fco. 60 Comp. Rec.; $29.159 ;;;Farmacia / Perfumería
F000018136;FASA;Ahumada;45353;Centrum Formula Global Fco. 60 Comp. Rec; $21.089 ;;;Farmacia / Perfumería
670003;FASA;Ahumada;62539;Sensodyne Blanqueador Extra Fresh Crema Dental de uso diario para dientes sensibles, 90g; $7.019 ;;;Farmacia / Perfumería
60000000130001;FASA;Ahumada;72820;Pasta Dental Sensodyne Repara & Protege 100 g; $8.399 ; $6.590 ;;Farmacia / Perfumería
60000000104527;FASA;Ahumada;75270;Pasta Dental Sensodyne Repara y Protege Blanqueador 100gr; $8.399 ; $6.590 ;;Farmacia / Perfumería
60000000026151;FASA;Ahumada;79179;Aquafresh Cepillo Dental Little Teeth x 1 Unidad; $4.559 ; $3.191 ;;Farmacia / Perfumería
F000048198;FASA;Ahumada;81099;Multivitamico Centrum Hombre 60 Comprimidos Recubiertos; $28.999 ;;;Farmacia / Perfumería
F000048196;FASA;Ahumada;81110;Multivitamico Centrum Hombre 30 Comprimidos Recubiertos; $16.499 ; $8.250 ;;Farmacia / Perfumería
F000048199;FASA;Ahumada;81111;Multivitamínico Centrum Mujer 30 Comprimidos – Multimineral para mujeres adultas; $16.599 ; $8.300 ;;Farmacia / Perfumería
F000048200;FASA;Ahumada;81112;Multivitamínico Centrum Mujer 60 Comprimidos; $28.799 ;;;Farmacia / Perfumería
60000000109056;FASA;Ahumada;83799;Pack Cepillo Dental Sensodyne Cepillo Protección Completa x2 un; $8.399 ; $7.139 ;;Farmacia / Perfumería
60000000108950;FASA;Ahumada;83810;Pack Cepillo Dental Sensodyne Cepillo Repara y Protege x2 un; $8.399 ;;;Farmacia / Perfumería
F000032203;FASA;Ahumada;84846;Multivitamínico Centrum Hombre Silver 60 Comprimidos; $29.099 ;;;Farmacia / Perfumería
F000032205;FASA;Ahumada;84847;Multivitamínico Centrum Mujer Silver 60 Comprimidos; $25.499 ;;;Farmacia / Perfumería
60000000119954;FASA;Ahumada;86569;Sensodyne Rápido Alivio Blanqueador Crema Dental para Dientes Sensibles, 100g; $9.029 ;;;Farmacia / Perfumería
60000000122043;FASA;Ahumada;88710;Sensodyne Cepillo Dental Sensibilidad Y Encias Suave x 1 Unidad; $6.919 ;;;Farmacia / Perfumería
60000000123608;FASA;Ahumada;88707;Pasta Dental Aquafresh Sabor Menta 158 g 2 un; $4.599 ;;;Farmacia / Perfumería
60000000205015;FASA;Ahumada;95370;Pasta Dental Aquafresh Active White 160 g; $2.799 ;;;Farmacia / Perfumería
60000000106510;FASA;Ahumada;79187;Pasta Dental Aquafresh Infantil Big Teeth 110 g; $4.069 ; $3.662 ;;Farmacia / Perfumería
60000000117498;FASA;Ahumada;85538;Pasta Dental Aquafresh Infantil Advance 9-12 años 94 g; $4.069 ; $3.590 ;;Farmacia / Perfumería
60000000136282;FASA;Ahumada;91057;Centrum Mini 30 comprimidos; $13.399 ; $11.389 ;;Farmacia / Perfumería
700362040;FASA;Ahumada;81956;Adhesivo Corega Ultra Protesis Dentales Menta 20 g; $9.339 ;;;Farmacia / Perfumería
700362043;FASA;Ahumada;70547;Adhesivo Corega Ultra Protesis Dentales 20 g; $9.439 ;;;Farmacia / Perfumería
700362092;FASA;Ahumada;89537;Adhesivo Corega Ultra Protesis Dentales Maximo Sellado 40 g; $14.369 ;;;Farmacia / Perfumería
700362091;FASA;Ahumada;89536;Adhesivo Corega Ultra Protesis Dentales Maximo Sellado 70 g; $21.399 ; $19.390 ;;Farmacia / Perfumería
700362044;FASA;Ahumada;81085;Adhesivo Corega Ultra Protesis Dentales 70 g; $16.099 ;;;Farmacia / Perfumería
700362078;FASA;Ahumada;85412;Adhesivo Corega Ultra Protesis Dentales Menta 70 g; $19.899 ;;;Farmacia / Perfumería
700362041;FASA;Ahumada;8317;Adhesivo Corega Ultra Protesis Dentales Menta 40 g; $12.989 ;;;Farmacia / Perfumería
700362045;FASA;Ahumada;46105;Adhesivo Corega Ultra Protesis Dentales 40 g; $12.989 ; $11.199 ;;Farmacia / Perfumería
60000000135482;FASA;Ahumada;92041;Adhesivo Corega Ultra Protesis Dentales Max Fijación Frescura 70 g; $21.099 ;;;Farmacia / Perfumería
60000000202565;FASA;Ahumada;92547;Adhesivo Corega Ultra Protesis Dentales Max Fijación Comodidad 70 g; $21.599 ;;;Farmacia / Perfumería
